"ccpversion","maprojid","magencyacro","magency","magencyname","description","projectid","mindate","maxdate","typecategory","plannedcommit_ccnonexempt","plannedcommit_ccexempt","plannedcommit_citycost","plannedcommit_nccstate","plannedcommit_nccfederal","plannedcommit_nccother","plannedcommit_noncitycost","plannedcommit_total","adopt_ccnonexempt","adopt_ccexempt","adopt_citycost","adopt_nccstate","adopt_nccfederal","adopt_nccother","adopt_noncitycost","adopt_total","allocate_ccnonexempt","allocate_ccexempt","allocate_citycost","allocate_nccstate","allocate_nccfederal","allocate_nccother","allocate_noncitycost","allocate_total","commit_ccnonexempt","commit_ccexempt","commit_citycost","commit_nccstate","commit_nccfederal","commit_nccother","commit_noncitycost","commit_total","spent_ccnonexempt","spent_ccexempt","spent_citycost","spent_nccstate","spent_nccfederal","spent_nccother","spent_noncitycost","spent_total","spent_total_checkbooknyc"
"fisa_2026","850SE849","DDC","850","Department of Design and Construction","Dist WM  SE Rplmt in Southeast Clason Point, BX","SE849","10/01/2025","06/01/2032",,"9,234,000","$29,802,000","$39,036,000","$0","$0","$0","$0","$39,036,000","9,234,000","29,802,000","39,036,000","0","0","0","0","39,036,000","9,234,000","29,802,000","0","0","0","0","0","39,036,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","125HAM14CRSR","DFTA","125","Department for the Aging","CARVER HOUSES SENIOR CENTER COMPUTER LAB","HAM14CRSR","06/01/2027","06/01/2027","Fixed Asset","100,000","$0","$100,000","$0","$0","$0","$0","$100,000","100,000","0","100,000","0","0","0","0","100,000","100,000","0","0","0","0","0","0","100,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","035LRCE12DOT","NYRL","35","New York Research Libraries","SASB:Improvements to the NYPL Vicinity","LRCE12DOT","06/01/2028","06/01/2031",,"0","$0","$0","$0","$0","$0","$0","$0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","035L21FREEZE","NYRL","35","New York Research Libraries","NYPL Research Libraries - Blast Freezer","L21FREEZE","06/01/2026","06/01/2026",,"393,000","$0","$393,000","$0","$0","$0","$0","$393,000","393,400","0","400,000","0","0","0","0","400,000","393,400","0","6,600","0","0","0","0","393,400","0","0","6,600","0","0","0","0","6,600","0","0","0","0","0","0","0","0","0"
"fisa_2026","850SEK002383","DDC","850","Department of Design and Construction","Combined SE installation & WM replacement in Dean Street","SEK002383","03/15/2023","06/01/2028","Lump Sum","0","$5,787,000","$5,787,000","$0","$0","$76,000","$76,000","$5,863,000","-98,946","22,368,000","22,864,000","0","0","4,792,000","3,381.65","27,656,000","-98,946","2,680,082.75","9,846,362.06","0","0","3,381.65","3,381.65","2,584,518.4","138,249.54","9,389,665.6","9,846,362.06","0","0","3,287,186.48","3,287,186.48","13,133,548.54","138,249.54","10,298,251.65","10,436,501.19","0","0","1,501,431.87","1,501,431.87","11,937,933.06","6,896,227.509999999"
"fisa_2026","111PO187PR15","UK","111","Unknown","13 STAGE STITCHER/FOLDER/COLLATOR","PO187PR15","02/11/2013","06/01/2035","Fixed Asset","643,000","$0","$643,000","$0","$0","$0","$0","$643,000","643,155.86","0","757,000","0","0","0","0","757,000","643,155.86","0","0","0","0","0","0","643,155.86","113,844.14","0","0","0","0","0","0","0","113,844.14","0","113,844.14","0","0","0","0","113,844.14","113,844.14"
"fisa_2026","111PO187PR19","UK","111","Unknown","MULTI 4610KSICD OFFSET PRESS","PO187PR19","06/01/2031","06/01/2034",,"590,000","$0","$590,000","$0","$0","$0","$0","$590,000","590,404.13","0","631,000","0","0","0","0","631,000","590,404.13","0","0","0","0","0","0","590,404.13","40,595.87","0","0","0","0","0","0","0","40,595.87","0","40,595.87","0","0","0","0","40,595.87","0"
"fisa_2026","068LUCILLE","ACS","68","Administration for Children's Services","Lucille Rose Day Care and Rockaway HeadStart","LUCILLE","06/01/2026","06/01/2026","Fixed Asset","57,000","$0","$57,000","$0","$0","$0","$0","$57,000","57,000","0","57,000","0","0","0","0","57,000","57,000","0","0","0","0","0","0","57,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","801BNYINFRAW","BNY","801","Brooklyn Navy Yard","BNYDC Infrastructure - Water Projects","BNYINFRAW","01/24/2011","06/01/2031","Fixed Asset","0","$0","$0","$0","$0","$0","$0","$0","-4,192,832.23","0","28,196,000","0","0","0","0","28,196,000","-4,192,832.23","0","0","0","0","0","0","-4,192,832.23","32,388,832.23","0","0","0","0","0","0","0","32,388,832.23","0","32,388,832.23","0","0","0","0","32,388,832.23","11,217,875.7"
"fisa_2026","037LNSYSBFFE","NYPL","37","New York Public Library","Systemwide FF&E Needs","LNSYSBFFE","06/01/2027","06/01/2031",,"0","$0","$0","$0","$0","$0","$0","$0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","126PV467-EMR","DCLA","126","Department of Cultural Affairs","DCA - EMERGENCY CAPITAL FUND FOR DCA","PV467-EMR","06/01/2026","06/01/2035","Lump Sum","379,853,000","$0","$379,853,000","$0","$0","$0","$0","$379,853,000","379,134,000","0","379,134,000","0","0","0","0","379,134,000","379,134,000","0","0","0","0","0","0","379,134,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","038LBCENPH3","BPL","38","Brooklyn Public Library","Central Phase 3","LBCENPH3","06/01/2028","06/01/2029",,"2,800,000","$0","$2,800,000","$0","$0","$0","$0","$2,800,000","2,800,000","0","2,800,000","0","0","0","0","2,800,000","2,800,000","0","0","0","0","0","0","2,800,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","806HAM16CLGY","HPD","806","Housing Preservation and Development","CLAREMONT HOUSES GYM RENOVATION FOR CLAREMONT NEIGHBORHOOD","HAM16CLGY","02/08/2024","06/01/2026","Fixed Asset","224,000","$0","$224,000","$0","$0","$0","$0","$224,000","14,764.46","0","1,516,000","0","0","0","0","1,516,000","14,764.46","0","399,123.28","0","0","0","0","14,764.46","1,102,112.26","0","399,123.28","0","0","0","0","399,123.28","1,102,112.26","0","1,102,112.26","0","0","0","0","1,102,112.26","1,102,112.26"
"fisa_2026","038LBENVELOP","BPL","38","Brooklyn Public Library","BPL ENVELOPE","LBENVELOP","06/01/2026","06/01/2033",,"0","$0","$0","$0","$0","$0","$0","$0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","806HAM16CRCC","HPD","806","Housing Preservation and Development","CORSI HOUSES UPGRADES TO LAGUARDIA COMMUNITY CENTER","HAM16CRCC","06/01/2026","06/01/2026","Fixed Asset","368,000","$0","$368,000","$0","$0","$0","$0","$368,000","368,308","0","3,688,000","0","0","0","0","3,688,000","368,308","0","3,319,692","0","0","0","0","368,308","0","0","3,319,692","0","0","0","0","3,319,692","0","0","0","0","0","0","0","0","0"
"fisa_2026","806HAM16WRSC","HPD","806","Housing Preservation and Development","WISE REHAB 54 W. 94TH STREET SECURITY CAMERAS","HAM16WRSC","06/01/2026","06/01/2026","ITT, Vehicles, and Equipment","15,000","$0","$15,000","$0","$0","$0","$0","$15,000","15,000","0","15,000","0","0","0","0","15,000","15,000","0","0","0","0","0","0","15,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","038LBM18NLOH","BPL","38","Brooklyn Public Library","New Lots Overhaul","LBM18NLOH","06/01/2026","06/01/2032",,"51,472,000","$0","$51,472,000","$0","$0","$0","$0","$51,472,000","51,672,000","0","51,672,000","0","0","0","0","51,672,000","51,672,000","0","0","0","0","0","0","51,672,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","038LBM20BHFE","BPL","38","Brooklyn Public Library","BROOKLYN HEIGHTS FF&E","LBM20BHFE","07/07/2022","06/01/2028",,"0","$0","$0","$0","$0","$0","$0","$0","3,072.52","0","535,000","0","0","0","0","535,000","3,072.52","0","0","0","0","0","0","3,072.52","531,927.48","0","0","0","0","0","0","0","531,927.48","0","531,927.48","0","0","0","0","531,927.48","531,927.48"
"fisa_2026","038LBM20CNFE","BPL","38","Brooklyn Public Library","CENTRAL PHASE 1 FF&E","LBM20CNFE","06/01/2029","06/01/2029",,"0","$0","$0","$0","$0","$0","$0","$0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","038LBM20SSFE","BPL","38","Brooklyn Public Library","SOUTH SITE FF&E","LBM20SSFE","06/01/2026","06/01/2026",,"0","$0","$0","$0","$0","$0","$0","$0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","038LBM22PCOH","BPL","38","Brooklyn Public Library","PACIFIC OVERHAUL","LBM22PCOH","06/01/2027","06/01/2032",,"40,046,000","$0","$40,046,000","$0","$0","$0","$0","$40,046,000","40,046,000","0","40,046,000","0","0","0","0","40,046,000","40,046,000","0","0","0","0","0","0","40,046,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"fisa_2026","038LBM24ERPS","BPL","38","Brooklyn Public Library","Systemwide ERP Implementation","LBM24ERPS","09/11/2024","06/01/2030",,"0","$0","$0","$0","$0","$0","$0","$0","-329","0","4,586,000","0","0","0","0","4,586,000","-329","0","0","0","0","0","0","-329","4,586,329","0","0","0","0","0","0","0","4,586,329","0","4,586,329","0","0","0","0","4,586,329","4,586,329.000000001"
